timestamp,ssid,bssid,frequency,rssi
1557482133310,90:9f:33:8f:d3:ae,90:9f:33:8f:d3:ae,2417,-85
1557482133310,02:11:87:08:8e:ff,02:11:87:08:8e:ff,2412,-88
1557482133310,90:9f:33:dc:43:6c,90:9f:33:dc:43:6c,2427,-89
1557482143418,d8:c7:c8:df:2d:f2,d8:c7:c8:df:2d:f2,5240,-51
1557482143418,d8:c7:c8:df:2d:f1,d8:c7:c8:df:2d:f1,5240,-51
1557482143418,d8:c7:c8:df:2d:f0,d8:c7:c8:df:2d:f0,5240,-51
1557482143418,9c:1c:12:d2:ee:51,9c:1c:12:d2:ee:51,5805,-52
1557482143418,9c:1c:12:d2:ee:50,9c:1c:12:d2:ee:50,5805,-52
1557482143418,9c:1c:12:d2:ee:52,9c:1c:12:d2:ee:52,5805,-52
1557482143418,9c:1c:12:d2:ee:40,9c:1c:12:d2:ee:40,2452,-55
1557482143418,9c:1c:12:d2:ee:42,9c:1c:12:d2:ee:42,2452,-56
1557482143418,9c:1c:12:d2:ee:41,9c:1c:12:d2:ee:41,2452,-56
1557482143418,d8:c7:c8:df:2d:e0,d8:c7:c8:df:2d:e0,2412,-58
1557482143418,d8:c7:c8:df:2d:e2,d8:c7:c8:df:2d:e2,2412,-59
1557482143418,d8:c7:c8:df:2d:e1,d8:c7:c8:df:2d:e1,2412,-59
1557482143418,d8:c7:c8:de:f5:31,d8:c7:c8:de:f5:31,5220,-69
1557482143418,d8:c7:c8:de:f5:30,d8:c7:c8:de:f5:30,5220,-69
1557482143418,d8:c7:c8:de:f5:32,d8:c7:c8:de:f5:32,5220,-69
1557482143418,d8:c7:c8:de:f5:21,d8:c7:c8:de:f5:21,2472,-70
1557482143418,02:15:99:ce:27:20,02:15:99:ce:27:20,2412,-71
1557482143418,d8:c7:c8:de:f5:20,d8:c7:c8:de:f5:20,2472,-71
1557482143418,d8:c7:c8:de:f5:22,d8:c7:c8:de:f5:22,2472,-71
